client_name,note,created,products
francivaldo4334,,2024-05-27,"Galinha ao molho (x1), Arroz branco (x1), Farofa (x1), Feijão (x1), Macarrão (x1)"
Andreiver,,2024-05-27,"Cozidão (x1), Arroz branco (x1), Feijão (x1), Macarrão (x1)"
gabriel,,2024-05-27,"Cozidão (x1), Arroz branco (x1), Macarrão (x1), Salada (x1)"
Eric,,2024-05-27,"Cozidão (x1), Arroz branco (x1), Farofa (x1), Macarrão (x1), Salada (x1)"
Fernanda,"Sem arroz, por favor",2024-05-27,"Vatapá (x1), Farofa (x1), Macarrão (x1), Salada (x1)"
Marciela,Ótima Sexta!!,2024-05-24,"Cozidão (x1), Arroz branco (x1), Farofa (x1), Macarrão (x1), Salada (x1), Vinagrete (x1)"
danilo,Somente frango,2024-05-24,"Churrasco misto (x1), Arroz branco (x1), Farofa (x1), Feijão (x1), Macarrão (x1), Salada (x1)"
gabriel,,2024-05-24,"Cozidão (x1), Arroz branco (x1), Macarrão (x1), Salada (x1)"
Duda,,2024-05-24,"Cozidão (x1), Arroz branco (x1), Farofa (x1), Macarrão (x1), Salada (x1), Vinagrete (x1)"
francivaldo4334,,2024-05-24,"Churrasco misto (x1), Arroz branco (x1), Farofa (x1), Feijão (x1), Macarrão (x1)"
Beto,,2024-05-24,"Churrasco misto (x1), Arroz branco (x1), Feijão (x1), Macarrão (x1), Vinagrete (x1)"
Eric,,2024-05-24,"Churrasco misto (x1), Arroz branco (x1), Farofa (x1), Macarrão (x1), Salada (x1), Vinagrete (x1)"
Andreiver,Sem vinagrete. E sem salada,2024-05-24,Churrasco misto (x1)
capitaobarbie2,,2024-05-24,"Churrasco misto (x1), Arroz branco (x1), Farofa (x1), Feijão (x1), Macarrão (x1), Salada (x1), Vinagrete (x1)"
Fernanda,"Sem arroz e com bastante legumes, por favor",2024-05-24,"Cozidão (x1), Farofa (x1), Macarrão (x1), Salada (x1), Vinagrete (x1)"
Marciela,"Ótima quinta!! Seria possivel colocar o feijao da feijoada? De ja agradeço!!
",2024-05-23,"Porco assado na panela (x1), Arroz branco (x1), Farofa (x1), Feijão (x1), Salada (x1)"
Andreiver,,2024-05-23,"Assado de Panela (x1), Arroz branco (x1), Feijão (x1), Macarrão (x1)"
Eric,,2024-05-23,"Feijoada (x1), Arroz branco (x1), Farofa (x1), Macarrão (x1), Salada (x1)"
francivaldo4334,,2024-05-23,"Assado de Panela (x1), Arroz branco (x1), Farofa (x1), Feijão (x1), Macarrão (x1), Salada (x1)"
Beto,,2024-05-23,"Peixe Frito (x1), Arroz branco (x1), Feijão (x1), Macarrão (x1)"
Fernanda,"Sem arroz, por favor",2024-05-23,"Feijoada (x1), Farofa (x1), Macarrão (x1), Salada (x1)"
gabriel,,2024-05-23,"Assado de Panela (x1), Arroz branco (x1), Macarrão (x1), Salada (x1)"
francivaldo4334,,2024-05-22,"Bife acebolado (x1), Arroz branco (x1), Farofa (x1), Feijão (x1), Macarrão (x1), Salada de repolho (x1), Salada verde (x1)"
Beto,,2024-05-22,"Strogonoff de frango (x1), Arroz branco (x1), Farofa (x1), Feijão (x1), Macarrão (x1), Salada verde (x1)"
Fernanda,"Sem arroz, por favor
",2024-05-22,"Bife acebolado (x1), Farofa (x1), Macarrão (x1), Salada de repolho (x1), Salada verde (x1)"
Duda,,2024-05-22,"Frango assado no forno (x1), Arroz branco (x1), Farofa (x1), Feijão (x1), Macarrão (x1), Salada de repolho (x1)"
Marciela,Ótima quarta!! Seria possível me enviar um limão ou ate uma bandinha!! Grata!!,2024-05-22,"Frango assado no forno (x1), Arroz branco (x1), Farofa (x1), Feijão (x1), Macarrão (x1), Salada de repolho (x1), Salada verde (x1)"
Eric,,2024-05-22,"Bife acebolado (x1), Arroz branco (x1), Farofa (x1), Feijão (x1), Macarrão (x1), Salada verde (x1)"
gabriel,,2024-05-22,"Frango assado no forno (x1), Arroz branco (x1), Macarrão (x1), Salada de repolho (x1)"
Andreiver,,2024-05-22,"Frango assado no forno (x1), Arroz branco (x1), Feijão (x1), Macarrão (x1)"
Fernanda,"Sem arroz, por favor",2024-05-21,"Bife ao molho (x1), Farofa (x1), Macarrão (x1), Salada verde (x1)"
Beto,,2024-05-21,"Bife ao molho (x1), Arroz branco (x1), Feijão (x1), Macarrão (x1)"
Andreiver,,2024-05-21,"Galinha ao molho (x1), Arroz branco (x1), Feijão (x1), Macarrão (x1)"
Duda,,2024-05-21,"Bife ao molho (x1), Arroz branco (x1), Farofa (x1), Feijão (x1), Macarrão (x1), Salada verde (x1)"
gabriel,,2024-05-21,"Bife ao molho (x1), Arroz branco (x1), Macarrão (x1), Salada verde (x1)"
Eric,,2024-05-21,"Galinha ao molho (x1), Arroz branco (x1), Farofa (x1), Macarrão (x1), Salada verde (x1)"
LorenaMartins,,2024-05-21,"Bife ao molho (x1), Arroz branco (x1), Feijão (x1), Salada verde (x1)"
Hellen,Pouco feijão ,2024-05-21,"Assado de Panela (x1), Arroz branco (x1), Farofa (x1), Feijão (x1), Salada verde (x1)"
joaoribeiro,,2024-05-21,"Arroz branco (x1), Farofa (x1), Feijão (x1), Macarrão (x1), Salada verde (x1)"
MatheusSilva,,2024-05-21,"Assado de Panela (x1), Arroz branco (x1), Farofa (x1), Feijão (x1)"
fhilipecoelho,,2024-05-21,"Assado de Panela (x1), Arroz branco (x1), Farofa (x1), Macarrão (x1)"
francivaldo4334,,2024-05-21,"Bife ao molho (x1), Arroz branco (x1), Farofa (x1), Feijão (x1), Macarrão (x1), Salada verde (x1)"
Marciela,Ótimo dia!! ,2024-05-21,"Assado de Panela (x1), Arroz branco (x1), Farofa (x1), Feijão (x1), Macarrão (x1), Salada verde (x1)"
francivaldo4334,,2024-05-20,"Assado de Panela (x1), Arroz branco (x1), Farofa (x1), Feijão (x1), Macarrão (x1), Salada verde (x1)"
Eric,,2024-05-20,"Cozidão (x1), Arroz branco (x1), Farofa (x1), Macarrão (x1), Salada verde (x1)"
Andreiver,,2024-05-20,"Galinha ao molho (x1), Arroz branco (x1), Feijão (x1), Macarrão (x1)"
Fernanda,"Sem arroz e com bastante legumes, por favor",2024-05-20,"Cozidão (x1), Farofa (x1), Macarrão (x1), Salada verde (x1)"
Marciela,Ótima e abençoada semana!!,2024-05-20,"Cozidão (x1), Arroz branco (x1), Farofa (x1), Macarrão (x1), Salada verde (x1)"
Beto,,2024-05-20,"Assado de Panela (x1), Arroz branco (x1), Feijão (x1), Macarrão (x1)"
Duda,,2024-05-20,"Cozidão (x1), Arroz branco (x1), Feijão (x1), Macarrão (x1), Salada verde (x1)"
gabriel,,2024-05-20,"Galinha ao molho (x1), Arroz branco (x1), Macarrão (x1), Salada verde (x1)"
gabriel,,2024-05-17,"Churrasco misto (x1), Completo (x1)"
Andreiver,"Tudo, menos o vinagrete e salada",2024-05-17,Churrasco misto (x1)
Eric,,2024-05-17,"Cozidão (x1), Baião (x1), Macarrão (x1), Salada (x1)"
Fernanda,"Sem arroz, por favor. E com bastante legumes",2024-05-17,"Cozidão (x1), Farofa (x1), Macarrão (x1), Salada (x1), Vinagrete (x1)"
francivaldo4334,,2024-05-17,"Churrasco misto (x1), Baião (x1), Farofa (x1), Macarrão (x1), Salada (x1)"
Marciela,"Ótimo diaaa!! Só para ressaltar...Amo o seu cozidão!! Adoro demais maxixe, abobora e quiabo!! Me envie a Farofa no saquinho!",2024-05-17,"Cozidão (x1), Baião (x1), Farofa (x1), Macarrão (x1), Salada (x1), Vinagrete (x1)"
Duda,,2024-05-17,"Cozidão (x1), Baião (x1), Farofa (x1), Macarrão (x1), Salada (x1), Vinagrete (x1)"
Beto,,2024-05-17,"Churrasco misto (x1), Baião (x1), Farofa (x1), Macarrão (x1), Vinagrete (x1)"
gabriel,-arroz +macarrão +salada,2024-05-16,"Galinha ao molho (x1), Arroz branco (x1), Macarrão (x1), Salada (x1)"
Fernanda,"Sem arroz, por favor",2024-05-16,"Assado de Panela (x1), Farofa (x1), Macarrão (x1), Salada (x1)"
francivaldo4334,,2024-05-16,"Frango assado no forno (x1), Arroz branco (x1), Farofa (x1), Feijão (x1), Macarrão (x1), Salada (x1)"
Andreiver,,2024-05-16,"Frango assado no forno (x1), Arroz branco (x1), Feijão (x1), Macarrão (x1)"
Marciela,Otimo dia 🌺 Muito obrigado pelo limão de ontem!!,2024-05-16,"Frango assado no forno (x1), Arroz branco (x1), Farofa (x1), Feijão (x1), Macarrão (x1), Salada (x1)"
Eric,,2024-05-16,"Galinha ao molho (x1), Arroz branco (x1), Farofa (x1), Macarrão (x1), Salada (x1)"
Duda,,2024-05-16,"Galinha ao molho (x1), Arroz branco (x1), Feijão (x1), Macarrão (x1), Salada (x1)"
Beto,,2024-05-16,"Assado de Panela (x1), Arroz branco (x1), Feijão (x1), Macarrão (x1)"
Duda,,2024-05-15,"Porco assado na panela (x1), Arroz branco (x1), Feijão (x1), Macarrão (x1), Salada (x1)"
Eric,,2024-05-15,"Assado de Panela (x1), Arroz branco (x1), Farofa (x1), Macarrão (x1), Salada (x1)"
Marciela,"Ótima e abençoada quarta! Se possivel for, me envie um limão. Muito grata",2024-05-15,"Porco assado na panela (x1), Arroz branco (x1), Farofa (x1), Macarrão (x1), Salada (x1)"
francivaldo4334,,2024-05-15,"Assado de Panela (x1), Arroz branco (x1), Farofa (x1), Feijão (x1), Macarrão (x1), Salada (x1)"
Fernanda,"Sem arroz, por favor",2024-05-15,"Assado de Panela (x1), Farofa (x1), Macarrão (x1), Salada (x1)"
Andreiver,,2024-05-15,"Assado de Panela (x1), Arroz branco (x1), Feijão (x1), Macarrão (x1)"
gabriel,,2024-05-15,"Assado de Panela (x1), Arroz branco (x1), Feijão (x1), Macarrão (x1), Salada (x1)"
Beto,,2024-05-15,"Peixe Frito (x1), Arroz branco (x1), Farofa (x1), Feijão (x1), Macarrão (x1)"
Fernanda,"Sem arroz, por favor",2024-05-14,"Bife acebolado (x1), Farofa (x1), Macarrão (x1), Salada (x1)"
Eric,,2024-05-14,"Galinha ao molho pardo (x1), Arroz branco (x1), Farofa (x1), Macarrão (x1), Salada (x1)"
francivaldo4334,,2024-05-14,"Bife acebolado (x1), Arroz branco (x1), Farofa (x1), Feijão (x1), Macarrão (x1), Salada (x1)"
Beto,,2024-05-14,"Bife acebolado (x1), Arroz branco (x1), Farofa (x1), Feijão (x1), Macarrão (x1)"
gabriel,-arroz +macarrão +salada,2024-05-14,"Assado de Panela (x1), Arroz branco (x1), Feijão (x1), Macarrão (x1), Salada (x1)"
Marciela,ótimo dia,2024-05-14,"Assado de Panela (x1), Arroz branco (x1), Farofa (x1), Feijão (x1), Macarrão (x1), Salada (x1)"
Duda,,2024-05-14,"Bife acebolado (x1), Arroz branco (x1), Feijão (x1), Macarrão (x1), Salada (x1)"
Andreiver,,2024-05-14,"Assado de Panela (x1), Arroz branco (x1), Feijão (x1), Macarrão (x1)"
dariobcalcada,"Sem arroz por favor 
Muita Luz ",2024-05-13,"Cozidão (x1), Farofa (x1), Feijão (x1), Macarrão (x1), Salada (x1)"
Duda,,2024-05-13,"Cozidão (x1), Arroz branco (x1), Farofa (x1), Macarrão (x1), Salada (x1)"
Fernanda,"Sem arroz, por favor",2024-05-13,"Cozidão (x1), Farofa (x1), Macarrão (x1), Salada (x1)"
Marciela,Ótima semana!! Um favor: Não esquece a farofa!! Obg,2024-05-13,"Cozidão (x1), Arroz branco (x1), Farofa (x1), Macarrão (x1), Salada (x1)"
Eric,,2024-05-13,"Cozidão (x1), Arroz branco (x1), Macarrão (x1), Salada (x1)"
francivaldo4334,,2024-05-13,"Bife ao molho (x1), Arroz branco (x1), Farofa (x1), Feijão (x1), Macarrão (x1), Salada (x1)"
danilo,Pouco arroz,2024-05-13,"Bife ao molho (x1), Arroz branco (x1), Farofa (x1), Feijão (x1), Macarrão (x1)"
gabriel,-arroz +macarrão +salada,2024-05-13,"Cozidão (x1), Arroz branco (x1), Feijão (x1), Macarrão (x1), Salada (x1)"
Andreiver,,2024-05-13,"Galinha ao molho (x1), Arroz branco (x1), Feijão (x1), Macarrão (x1)"
Beto,,2024-05-13,"Bife ao molho (x1), Arroz branco (x1), Farofa (x1), Feijão (x1), Macarrão (x1)"
Beto,,2024-05-10,"Churrasco misto (x1), Baião (x1), Farofa (x1), Macarrão (x1), Vinagrete (x1)"
Sadja,,2024-05-10,"Churrasco misto (x1), Completo (x1)"
Fernanda,"sem arroz, por favor",2024-05-10,"Churrasco misto (x1), Farofa (x1), Macarrão (x1), Salada (x1), Vinagrete (x1)"
Eric,,2024-05-10,"Churrasco misto (x1), Baião (x1), Farofa (x1), Macarrão (x1), Salada (x1), Vinagrete (x1)"
marcos,"Não colocar porco de maneira nenhuma, nem carne com gordura por favor.",2024-05-10,"Churrasco misto (x1), Baião (x1), Farofa (x1), Macarrão (x1), Salada (x1)"
danilo,Churrasco somente de frango e carne,2024-05-10,"Churrasco misto (x1), Completo (x1)"
matheus_tech,,2024-05-10,"Churrasco misto (x1), Baião (x1), Farofa (x1), Macarrão (x1), Salada (x1)"
ArchMoon,,2024-05-10,"Churrasco misto (x1), Baião (x1), Macarrão (x1), Vinagrete (x1)"
leonardo,,2024-05-10,"Churrasco misto (x1), Baião (x1), Farofa (x1), Vinagrete (x1)"
francivaldo4334,,2024-05-10,"Churrasco misto (x1), Baião (x1), Completo (x1), Farofa (x1), Macarrão (x1), Salada (x1)"
Andreiver,Tudo. Sem salada e sem vinagrete. ,2024-05-10,Churrasco misto (x1)
gabriel,,2024-05-10,"Churrasco misto (x1), Completo (x1)"
gabriel,-arroz +macarrão +salada,2024-05-09,"Bife acebolado (x1), Arroz branco (x1), Feijão (x1), Macarrão (x1), Salada (x1)"
Marciela,Ótimo dia!! muito obrigado pelos limões!! ,2024-05-09,"Frango assado no forno (x1), Arroz branco (x1), Farofa (x1), Feijão (x1), Macarrão (x1), Salada (x1)"
Eric,,2024-05-09,"Galinha ao molho (x1), Arroz branco (x1), Farofa (x1), Macarrão (x1), Salada (x1)"
Fernanda,"Sem arroz, por favor",2024-05-09,"Bife acebolado (x1), Farofa (x1), Macarrão (x1), Salada (x1)"
Duda,,2024-05-09,"Bife acebolado (x1), Arroz branco (x1), Feijão (x1), Macarrão (x1), Salada (x1)"
francivaldo4334,,2024-05-09,"Bife acebolado (x1), Arroz branco (x1), Farofa (x1), Feijão (x1), Macarrão (x1), Salada (x1)"
Beto,,2024-05-09,"Bife acebolado (x1), Arroz branco (x1), Feijão (x1), Macarrão (x1)"
Andreiver,,2024-05-09,"Frango assado no forno (x1), Arroz branco (x1), Feijão (x1), Macarrão (x1)"
Fernanda,"Sem arroz, por favor ",2024-05-08,"Assado de Panela (x1), Farofa (x1), Macarrão (x1), Salada (x1)"
Andreiver,,2024-05-08,"Assado de Panela (x1), Arroz branco (x1), Feijão (x1), Macarrão (x1), Salada (x1)"
Eric,,2024-05-08,"Assado de Panela (x1), Arroz branco (x1), Feijão (x1), Macarrão (x1), Salada (x1)"
Marciela,ótimo dia!!Seria possível me enviar um limão! De ja agradeço,2024-05-08,"Peixe Frito (x1), Arroz branco (x1), Farofa (x1), Feijão (x1), Macarrão (x1), Salada (x1)"
francivaldo4334,,2024-05-08,"Assado de Panela (x1), Arroz branco (x1), Farofa (x1), Feijão (x1), Macarrão (x1), Salada (x1)"
Duda,,2024-05-08,"Assado de Panela (x1), Arroz branco (x1), Feijão (x1), Macarrão (x1), Salada (x1)"
gabriel,"-arroz +macarrão +salada, obrigado",2024-05-08,"Assado de Panela (x1), Arroz branco (x1), Feijão (x1), Macarrão (x1), Salada (x1)"
Beto,,2024-05-08,"Assado de Panela (x1), Arroz branco (x1), Farofa (x1), Feijão (x1), Macarrão (x1)"
Duda,Sem feijão por favor. ,2024-05-07,"Porco ao molho (x1), Arroz branco (x1), Farofa (x1), Macarrão (x1), Salada (x1)"
Marciela,Ótimo dia!! Seria possível vc me enviar um limão? De ja agradeço!!,2024-05-07,"Porco ao molho (x1), Arroz branco (x1), Farofa (x1), Macarrão (x1), Salada (x1)"
francivaldo4334,,2024-05-07,"Lasanha de carne (x1), Arroz branco (x1), Farofa (x1), Feijão (x1), Macarrão (x1), Salada (x1)"
Eric,,2024-05-07,"Lasanha de carne (x1), Arroz branco (x1), Feijão (x1), Macarrão (x1), Salada (x1)"
Andreiver,,2024-05-07,"Galinha ao molho (x1), Arroz branco (x1), Feijão (x1), Macarrão (x1), Salada (x1)"
Fernanda,"Sem arroz, por favor ",2024-05-07,"Galinha ao molho (x1), Farofa (x1), Feijão (x1), Macarrão (x1), Salada (x1)"
Beto,,2024-05-07,"Lasanha de carne (x1), Arroz branco (x1), Farofa (x1), Feijão (x1), Macarrão (x1)"
gabriel,"-arroz +macarrão +salada, obrigado",2024-05-07,"Galinha ao molho (x1), Arroz branco (x1), Feijão (x1), Macarrão (x1), Salada (x1)"
francivaldo4334,,2024-05-06,"Fígado acebolado (x1), Arroz branco (x1), Farofa (x1), Feijão (x1), Macarrão (x1), Salada (x1)"
Beto,,2024-05-06,"Assado de Panela (x1), Arroz branco (x1), Feijão (x1), Macarrão (x1)"
Duda,sem feijão por favor. ,2024-05-06,"Cozidão (x1), Arroz branco (x1), Macarrão (x1), Salada (x1)"
Andreiver,,2024-05-06,"Galinha ao molho (x1), Arroz branco (x1), Feijão (x1), Macarrão (x1), Salada (x1)"
Eric,,2024-05-06,"Cozidão (x1), Arroz branco (x1), Macarrão (x1), Salada (x1)"
gabriel,"-arroz +macarrão +salada, obrigado",2024-05-06,"Cozidão (x1), Arroz branco (x1), Macarrão (x1), Salada (x1)"
Fernanda,"Sem arroz, por favor",2024-05-06,"Assado de Panela (x1), Farofa (x1), Feijão (x1), Macarrão (x1), Salada (x1)"
Andreiver,Tudo menos vinagrete,2024-05-03,Churrasco misto (x1)
gabriel,"-arroz +macarrão +salada, obrigado",2024-05-03,"Churrasco misto (x1), Baião (x1), Macarrão (x1), Salada (x1), Vinagrete (x1)"
Beto,,2024-05-03,"Churrasco misto (x1), Baião (x1), Farofa (x1), Macarrão (x1), Vinagrete (x1)"
nathanaelbryan,"Se possível, caprichar na salada e no vinagrete. Obrigado!",2024-05-03,"Churrasco misto (x1), Baião (x1), Farofa (x1), Salada (x1), Vinagrete (x1)"
francivaldo4334,,2024-05-03,"Churrasco misto (x1), Baião (x1), Farofa (x1), Macarrão (x1), Salada (x1)"
Fernanda,"Sem arroz, por favor",2024-05-03,"Churrasco misto (x1), Farofa (x1), Macarrão (x1), Salada (x1), Vinagrete (x1)"
Eric,,2024-05-03,"Churrasco misto (x1), Baião (x1), Macarrão (x1), Salada (x1)"
Duda,sem farofa por favor ,2024-05-03,"Churrasco misto (x1), Baião (x1), Macarrão (x1), Salada (x1), Vinagrete (x1)"
Marciela,"Feliz Sexta feira e um ótimo fim de semana!! ( Da ultima vez vc esqueceu meu vinagrete, só para lembrar)!! Obgg",2024-05-03,"Churrasco misto (x1), Baião (x1), Farofa (x1), Macarrão (x1), Salada (x1), Vinagrete (x1)"
Beto,,2024-05-02,"Bife ao molho (x1), Arroz branco (x1), Feijão (x1), Macarrão (x1)"
Marciela,Ótima Quinta 🙏💕,2024-05-02,"Assado de Panela (x1), Arroz branco (x1), Farofa (x1), Feijão (x1), Macarrão (x1), Salada (x1)"
Duda,,2024-05-02,"Assado de Panela (x1), Arroz branco (x1), Feijão (x1), Macarrão (x1), Salada (x1)"
francivaldo4334,,2024-05-02,"Bife ao molho (x1), Arroz branco (x1), Farofa (x1), Feijão (x1), Macarrão (x1), Salada (x1)"
Fernanda,"Sem arroz, por favor ",2024-05-02,"Assado de Panela (x1), Farofa (x1), Macarrão (x1), Salada (x1)"
Eric,,2024-05-02,"Galinha ao molho (x1), Arroz branco (x1), Macarrão (x1), Salada (x1)"
nathanaelbryan,"Caprichar no feijão e na salada e diminuir o arroz, por favor ",2024-05-02,"Assado de Panela (x1), Arroz branco (x1), Feijão (x1), Salada (x1)"
Andreiver,,2024-05-02,"Galinha ao molho (x1), Arroz branco (x1), Feijão (x1), Macarrão (x1), Salada (x1)"
gabriel,"-arroz +macarrão +salada, obrigado
",2024-05-02,"Bife ao molho (x1), Arroz branco (x1), Feijão (x1), Macarrão (x1), Salada (x1)"
francivaldo4334,,2024-04-30,"Bife ao molho (x1), Arroz branco (x1), Farofa (x1), Feijão (x1), Macarrão (x1), Salada (x1)"
Marciela,Otimo dia! Vc tem esquecido de colocar farofa nos meus pedidos. Só para lembrar!!,2024-04-30,"Bife ao molho (x1), Arroz branco (x1), Farofa (x1), Feijão (x1), Macarrão (x1), Salada (x1)"
Duda,,2024-04-30,"Bife ao molho (x1), Arroz branco (x1), Macarrão (x1), Salada (x1)"
Beto,,2024-04-30,"Bife ao molho (x1), Arroz branco (x1), Feijão (x1), Macarrão (x1)"
Fernanda,"Sem arroz, por favor",2024-04-30,"Assado de Panela (x1), Farofa (x1), Macarrão (x1), Salada (x1)"
Andreiver,,2024-04-30,"Galinha ao molho (x1), Arroz branco (x1), Feijão (x1), Macarrão (x1), Salada (x1)"
Eric,,2024-04-30,"Assado de Panela (x1), Arroz branco (x1), Macarrão (x1), Salada (x1)"
gabriel,-arroz +macarrão +salada,2024-04-30,"Bife ao molho (x1), Arroz branco (x1), Macarrão (x1), Salada (x1)"
Duda,,2024-04-29,"Frango ao molho (x1), Baião (x1), Macarrão (x1), Salada (x1)"
Andreiver,,2024-04-29,"Assado de Panela (x1), Arroz branco (x1), Feijão (x1), Macarrão (x1), Salada (x1)"
nathanaelbryan,"Por favor, caprichar no feijão e na salada. Obrigado.",2024-04-29,"Assado de Panela (x1), Baião (x1), Feijão (x1), Salada (x1)"
francivaldo4334,,2024-04-29,"Assado de Panela (x1), Baião (x1), Farofa (x1), Feijão (x1), Macarrão (x1), Salada (x1)"
gabriel,-arroz +macarrão +salada,2024-04-29,"Frango ao molho (x1), Arroz branco (x1), Feijão (x1), Macarrão (x1), Salada (x1)"
Eric,,2024-04-29,"Frango ao molho (x1), Baião (x1), Feijão (x1), Macarrão (x1), Salada (x1)"
Beto,,2024-04-29,"Assado de Panela (x1), Arroz branco (x1), Feijão (x1), Macarrão (x1)"
Marciela,Ótima semana ,2024-04-29,"Assado de Panela (x1), Arroz branco (x1), Farofa (x1), Feijão (x1), Macarrão (x1), Salada (x1)"
Fernanda,"Sem arroz, por favor",2024-04-29,"Assado de Panela (x1), Farofa (x1), Feijão (x1), Macarrão (x1), Salada (x1)"
francivaldo4334,,2024-04-26,"Churrasco misto (x1), Arroz branco (x1), Farofa (x1), Feijão (x1), Macarrão (x1), Salada (x1)"
Duda,,2024-04-26,"Lasanha de camarão (x1), Arroz branco (x1), Feijão (x1), Macarrão (x1), Salada (x1)"
Beto,,2024-04-26,"Churrasco misto (x1), Arroz branco (x1), Feijão (x1), Macarrão (x1)"
Fernanda,"Sem arroz, por favor ",2024-04-26,"Churrasco misto (x1), Farofa (x1), Macarrão (x1), Salada (x1)"
Eric,,2024-04-26,"Churrasco misto (x1), Arroz branco (x1), Farofa (x1), Feijão (x1), Macarrão (x1)"
Marciela,"ótima sexta!!
",2024-04-26,"Churrasco misto (x1), Arroz branco (x1), Farofa (x1), Feijão (x1), Macarrão (x1), Salada (x1)"
gabriel,-arroz +macarrão +salada,2024-04-26,"Carne com verduras (x1), Arroz branco (x1), Macarrão (x1), Salada (x1)"
danilo,,2024-04-25,"Strogonoff de frango (x1), Arroz branco (x1), Farofa (x1), Macarrão (x1), Salada (x1)"
Duda,,2024-04-25,"Bife ao molho (x1), Arroz branco (x1), Farofa (x1), Macarrão (x1), Salada (x1)"
Fernanda,"Sem arroz, por favor",2024-04-25,"Bife ao molho (x1), Farofa (x1), Feijão (x1), Macarrão (x1), Salada (x1)"
Sadja,Sadja,2024-04-25,"Strogonoff de frango (x1), Arroz branco (x1), Farofa (x1), Salada (x1)"
nathanaelbryan,"Por favor, caprichar no feijão e na salada e diminuir o arroz. ",2024-04-25,"Bife ao molho (x1), Arroz branco (x1), Feijão (x1), Salada (x1)"
Beto,,2024-04-25,"Bife ao molho (x1), Arroz branco (x1), Feijão (x1), Macarrão (x1)"
Marciela,Ótima Quinta 🦋🙏! Seria possível vc me enviar um limão! De já lhe agradeço!,2024-04-25,"Bife ao molho (x1), Arroz branco (x1), Farofa (x1), Feijão (x1), Macarrão (x1), Salada (x1)"
igor,,2024-04-25,"Strogonoff de frango (x1), Arroz branco (x1), Farofa (x1)"
francivaldo4334,,2024-04-25,"Bife ao molho (x1), Arroz branco (x1), Farofa (x1), Feijão (x1), Macarrão (x1), Salada (x1)"
Eric,,2024-04-25,"Bife ao molho (x1), Arroz branco (x1), Macarrão (x1), Salada (x1)"
Andreiver,,2024-04-25,"Bife ao molho (x1), Arroz branco (x1), Feijão (x1), Macarrão (x1), Salada (x1)"
gabriel,-arroz +macarrão +salada,2024-04-25,"Bife ao molho (x1), Arroz branco (x1), Macarrão (x1), Salada (x1)"
francivaldo4334,,2024-04-24,"Frango assado no forno (x1), Arroz branco (x1), Farofa (x1), Feijão (x1), Macarrão (x1), Salada (x1)"
Fernanda,"Sem arroz, por favor",2024-04-24,"Assado de Panela (x1), Feijoada (x1), Farofa (x1), Macarrão (x1), Salada (x1)"
nathanaelbryan,"Por favor, caprichar no feijão e na salada e diminuir um pouco o arroz.",2024-04-24,"Assado de Panela (x1), Arroz branco (x1), Feijão (x1), Salada (x1)"
Andreiver,,2024-04-24,"Frango assado no forno (x1), Arroz branco (x1), Feijão (x1), Macarrão (x1), Salada (x1)"
Eric,,2024-04-24,"Frango assado no forno (x1), Arroz branco (x1), Macarrão (x1), Salada (x1)"
Marciela,Bom dia meu bem! Seria possível colocar feijoada no lugar do feijão? De já agradeço!,2024-04-24,"Frango assado no forno (x1), Arroz branco (x1), Farofa (x1), Feijão (x1), Macarrão (x1)"
Duda,por favor tem como colocar feijoada no lugar do feijão? obrigada e bom trabalho. ,2024-04-24,"Frango assado no forno (x1), Arroz branco (x1), Farofa (x1), Macarrão (x1), Salada (x1)"
Beto,,2024-04-24,"Assado de Panela (x1), Arroz branco (x1), Feijão (x1), Macarrão (x1)"
gabriel,"-arroz +macarrão +salada
",2024-04-24,"Frango assado no forno (x1), Arroz branco (x1), Feijão (x1), Macarrão (x1), Salada (x1)"
francivaldo4334,,2024-04-23,"Galinha ao molho pardo (x1), Arroz branco (x1), Farofa (x1), Feijão (x1), Macarrão (x1), Salada (x1)"
Fernanda,"Sem arroz, por favor",2024-04-23,"Cozidão (x1), Farofa (x1), Macarrão (x1), Salada (x1)"
Andreiver,,2024-04-23,"Cozidão (x1), Arroz branco (x1), Feijão (x1), Macarrão (x1), Salada (x1)"
Marciela,Ótima terça,2024-04-23,"Cozidão (x1), Arroz branco (x1), Farofa (x1), Macarrão (x1), Salada (x1)"
Duda,"Por favor, se puder colocar legumes e caldo. ",2024-04-23,"Cozidão (x1), Arroz branco (x1), Macarrão (x1), Salada (x1)"
Eric,,2024-04-23,"Cozidão (x1), Arroz branco (x1), Macarrão (x1), Salada (x1)"
gabriel,-arroz +macarrão +salada,2024-04-23,"Cozidão (x1), Arroz branco (x1), Macarrão (x1), Salada (x1)"
nathanaelbryan,"Por favor, caprichar no feijão e na salada.",2024-04-23,"Porco ao molho (x1), Arroz branco (x1), Feijão (x1), Salada (x1)"
Duda,,2024-04-22,"Assado de Panela (x1), Arroz branco (x1), Macarrão (x1), Salada (x1)"
Marciela,Ótima semana 🙏,2024-04-22,"Assado de Panela (x1), Farofa (x1), Feijão (x1), Macarrão (x1), Salada (x1)"
Eric,,2024-04-22,"Galinha ao molho (x1), Arroz branco (x1), Macarrão (x1), Salada (x1)"
Fernanda,"Sem arroz, por favor",2024-04-22,"Assado de Panela (x1), Farofa (x1), Feijão (x1), Macarrão (x1), Salada (x1)"
